Time (ms),Tempertaure,Potiential
0,618,1
200,618,1
401,618,1
602,618,1
802,618,1
1003,618,1
1204,618,1
1404,618,1
1605,618,1
1805,618,1
2006,618,1
2206,618,1
2407,618,1
2608,618,1
2808,618,1
3009,618,2
3210,618,18
3410,618,51
3611,619,83
"3,812",618,107
"4,014",618,124
"4,214",618,143
"4,415",618,166
"4,616",648,192
"4,816",617,196
"5,017",617,207
"5,218",617,220
"5,419",616,233
"5,619",645,254
"5,820",615,264
"6,021",645,284
"6,221",613,307
"6,422",612,333
"6,623",611,364
"6,823",611,375
"7,024",641,392
"7,226",609,396
"7,427",641,411
"7,627",609,428
"7,828",608,440
"8,029",640,456
"8,229",607,459
"8,430",639,476
"8,631",607,471
"8,832",638,470
"9,032",636,477
"9,233",606,470
"9,434",637,480
"9,634",605,487
"9,835",637,513
"10,036",605,527
"10,237",606,538
"10,438",636,543
"10,639",605,538
"10,840",636,543
"11,040",605,538
"11,241",636,543
"11,442",605,538
"11,642",637,538
"11,843",635,543
"12,045",606,538
"12,246",637,543
"12,446",606,538
"12,647",637,543
"12,848",607,538
"13,048",638,543
"13,249",608,542
"13,450",639,538
"13,650",638,543
"13,852",608,537
"14,053",639,543
"14,254",609,547
"14,454",639,576
"14,655",609,603
"14,856",639,642
"15,056",638,676
"15,257",639,677
"15,458",639,683
"15,660",609,722
"15,860",640,773
"16,061",610,816
"16,262",640,859
"16,462",640,898
"16,663",641,943
"16,864",641,948
"17,064",641,956
"17,265",641,986
"17,467",642,1011
"17,668",642,1023
"17,868",642,1023
"18,069",642,1023
"18,270",642,1023
"18,470",643,1023
"18,671",643,1023
"18,873",644,1023
"19,074",644,1023
"19,274",644,1023
"19,475",643,1023
"19,676",643,1023
"19,876",643,1023
"20,078",643,1023
"20,279",643,1023
"20,480",643,1023
"20,680",643,1021
"20,881",644,982
"21,082",644,917
"21,282",644,898
"21,484",644,897
"21,685",644,863
"21,885",645,814
"22,086",644,771
"22,287",614,765
"22,488",645,699
"22,688",614,648
"22,889",645,647
"23,090",645,575
"23,291",616,508
"23,492",645,499
"23,693",615,418
"23,894",646,396
"24,094",615,338
"24,295",646,261
"24,496",615,253
"24,696",615,139
"24,897",615,108
25099,615,44
25299,615,15
25500,615,0
25701,615,0
25902,616,1
26102,615,0
26303,615,1
26504,615,1
26704,615,1
26905,615,1
27106,615,0
27307,615,1
27507,615,0
27708,615,1
27909,615,1
28109,615,0
28310,615,1
28511,615,1
28711,615,1
28912,615,0
29113,615,1
29314,616,1
29514,616,1
29715,616,1
29916,616,0
30116,615,1
30317,615,1
30518,615,1
30718,615,1
30919,616,1
31120,616,1
31322,616,0
31522,616,0
31723,616,0
31924,616,1
32124,616,0
32325,616,0
32526,616,1
32727,616,1
32927,616,1
33128,617,1
33329,617,1
33529,617,1
33730,617,1
