Time (ms),Lumens?,Potential
0,82,2
200,81,1
401,81,1
602,82,1
802,82,1
1002,82,2
1203,82,1
1403,83,1
1604,82,2
1805,82,4
2006,81,25
2206,87,56
2407,108,91
2608,105,132
2808,150,165
3009,120,189
3210,256,276
3410,140,248
3611,116,247
3813,161,285
4014,128,376
4214,289,477
4415,152,449
4616,278,501
4816,191,551
5017,242,639
5218,303,713
5419,169,695
5619,303,774
5820,221,875
6021,305,978
6221,311,1003
6422,314,1014
6623,314,1019
6824,313,1021
7025,300,1019
7226,294,1019
7427,314,1018
7627,293,1018
7828,310,1019
8029,292,1019
8229,282,1009
8430,316,1015
8632,278,1020
8833,309,1016
9033,305,1016
9234,279,951
9435,326,961
9635,322,959
9836,323,905
10037,215,882
10237,308,865
10438,311,783
10640,299,729
10841,304,718
11041,267,618
11242,296,568
11443,155,464
11643,285,403
11844,152,320
12045,239,295
12246,152,179
12446,110,54
12648,112,1
12849,77,1
13049,77,0
13250,78,0
13451,78,0
13651,78,0
13852,78,0
14052,78,0
14253,77,0
14453,78,2
14654,78,60
14855,105,131
15056,104,178
15257,144,185
15458,114,258
15659,223,376
15859,141,344
16060,275,496
16261,167,546
16461,280,578
16662,216,677
16864,276,724
17064,303,765
17265,252,843
17466,306,866
17667,204,988
17867,312,1003
18068,313,1022
18269,312,1021
18470,311,1022
18671,310,1022
18872,310,1022
19073,310,1022
19273,310,1022
19474,310,1021
19676,310,1022
19876,310,989
20077,308,988
20278,310,876
20478,303,807
20679,305,805
20880,293,649
21081,298,527
21281,145,497
21483,288,389
21684,142,289
21884,254,302
22085,144,90
22286,97,77
22487,119,4
22687,77,0
22888,77,1
23089,79,1
23289,99,21
23490,101,0
23691,80,0
23891,77,0
24092,76,0
24293,75,0
24494,75,0
24694,74,0
24895,74,0
25096,73,0
25296,74,0
